"","batch_2_p_val","batch_2_avg_log2FC","batch_2_pct.1","batch_2_pct.2","batch_2_p_val_adj"
"TRAV8-5",0.120901228655806,-2.3567187547969,0,0.012,1
"TRAV22",0.120901228655806,-2.84414973613715,0,0.012,1
"HIF1A-AS2",0.120901228655806,-2.08267487151543,0,0.012,1
"ZBTB42",0.120901228655806,-2.46534160603171,0,0.012,1
"RP11-932O9.9",0.120901228655806,-2.71067299393831,0,0.012,1
"OTUD7A",0.120901228655806,-2.04443984345764,0,0.012,1
"MAP1A",0.120901228655806,-2.19187661132088,0,0.012,1
"HYKK",0.120901228655806,-2.3962571038866,0,0.012,1
"ZNF205",0.120901228655806,-2.14488597276017,0,0.012,1
"ATP2A1-AS1",0.120901228655806,-2.25514079656177,0,0.012,1
"LCAT",0.120901228655806,-2.26398009434991,0,0.012,1
"SOX15",0.120901228655806,-1.76388669465103,0,0.012,1
"ADORA2B",0.120901228655806,-1.72175382246221,0,0.012,1
"NATD1",0.120901228655806,-2.31545120797221,0,0.012,1
"FZD2",0.120901228655806,-2.03888673166758,0,0.012,1
"MXRA7",0.120901228655806,-2.66892498681317,0,0.012,1
"NEDD4L",0.120901228655806,-1.99648177810524,0,0.012,1
"E2F1",0.120901228655806,-1.74075373994467,0,0.012,1
"RTN2",0.120901228655806,-2.21803468314859,0,0.012,1
"GIPR",0.120901228655806,-1.78046231454071,0,0.012,1
"TULP2",0.120901228655806,-2.08648036652346,0,0.012,1
"TRPM4",0.120901228655806,-2.73776552568966,0,0.012,1
"FCAR",0.120901228655806,-2.52811653971925,0,0.012,1
"SMTN",0.120901228655806,-1.60306937660793,0,0.012,1
"PDGFB",0.120901228655806,-2.17605497821598,0,0.012,1
"ARID1B",0.120979390673233,-0.363484152354138,0.116,0.16,1
"OAS2",0.121030109136321,-0.533801751722215,0.106,0.148,1
"PRR14",0.121184747814428,-0.432588662362823,0.126,0.173,1
"FNTB",0.121501301150431,-1.91004719483981,0.01,0.029,1
"NAA15",0.121621349335422,0.504574666890194,0.176,0.139,1
