"","batch_1_p_val","batch_1_avg_log2FC","batch_1_pct.1","batch_1_pct.2","batch_1_p_val_adj"
"ZNF106",0.0550518786265418,-0.188548915212894,0.161,0.237,1
"APBB1",0.0551181629596108,-0.674029542529701,0.031,0.069,1
"EXOSC3",0.0552426046628172,-0.774452433060731,0.042,0.082,1
"TEP1",0.0552516480726922,-1.4053619312442,0.01,0.038,1
"GFI1",0.0553376766060724,-3.34273449249195,0,0.019,1
"FAM63A",0.0553376766060724,-2.76322327507346,0,0.019,1
"FGFRL1",0.0553376766060724,-2.65849523568019,0,0.019,1
"CCNJL",0.0553376766060724,-3.25142637877699,0,0.019,1
"TMEM8B",0.0553376766060724,-2.68130503369663,0,0.019,1
"FAM129B",0.0553376766060724,-2.66523729443727,0,0.019,1
"CASP5",0.0553376766060724,-2.51362990123388,0,0.019,1
"SENCR",0.0553376766060724,-2.55553849057971,0,0.019,1
"HAL",0.0553376766060724,-2.98644400770134,0,0.019,1
"MYLPF",0.0553376766060724,-3.11939648298893,0,0.019,1
"RP11-334C17.5",0.0553376766060724,-2.93664747010388,0,0.019,1
"APOBEC3H",0.0553376766060724,-3.26650889598958,0,0.019,1
"RNASE6",0.055343836056909,0.40468159984508,0.208,0.158,1
"LANCL1",0.05534455725751,-1.09015136080143,0.01,0.038,1
"KDELR1",0.0553951679177686,-0.376619329783793,0.172,0.244,1
"EPS15L1",0.0554036613629021,0.818566743817918,0.13,0.088,1
"SNW1",0.0554621466657474,-0.24613828988115,0.151,0.228,1
"TOPORS",0.0554992747580567,0.736377270966178,0.156,0.111,1
"AIP",0.0555463906088604,-0.33959176506028,0.219,0.304,1
"TMEM63B",0.0556367172712611,-1.85947592561404,0.005,0.029,1
"DCTN4",0.0556399545604539,-0.582260272326496,0.026,0.062,1
"RNPC3",0.0557206770618412,1.00965646744675,0.094,0.059,1
"ATAD2",0.0558589958079026,-1.12453811199007,0.016,0.046,1
"RABIF",0.0558605805859249,-0.386107659095576,0.068,0.118,1
"RNF138",0.0558886160644727,-0.481534007879275,0.104,0.163,1
"ANKRD11",0.0559454015248223,-0.155874368509623,0.141,0.215,1
"CTSS",0.0559522609397493,-1.55211733584313,0.802,0.68,1
"MTMR9",0.0560404245273836,1.10405795655314,0.104,0.068,1
"GPX1",0.0561151636868472,-0.89097790088413,0.578,0.605,1
"ZDHHC14",0.0561244664635462,1.33367160493394,0.036,0.016,1
