"","batch_1_p_val","batch_1_avg_log2FC","batch_1_pct.1","batch_1_pct.2","batch_1_p_val_adj","batch_2_p_val","batch_2_avg_log2FC","batch_2_pct.1","batch_2_pct.2","batch_2_p_val_adj","max_pval","minimump_p_val"
"SGPL1",0.384384505700954,0.264418751687582,0.04,0.057,1,0.309722047418052,-0.181329493628758,0.05,0.071,1,0.384384505700954,0.523516348179275
"FAM213B",0.309776554044892,-0.396221084477318,0.02,0.034,1,0.50174873339461,0.49709714532135,0.05,0.04,1,0.50174873339461,0.523591594653857
"OBSCN",0.776479023340645,0.128979993474903,0.015,0.018,1,0.309776554044892,-0.525365817049969,0.02,0.034,1,0.776479023340645,0.523591594653857
"GLTSCR1L",0.611395383069209,-0.101531663464305,0.035,0.043,1,0.309939187811367,0.913365332847498,0.09,0.072,1,0.611395383069209,0.523816075481564
"RP11-620J15.3",0.40882158340656,0.740426880881118,0.065,0.052,1,0.31000672380445,0.637318417838298,0.095,0.076,1,0.40882158340656,0.523909278804931
"GTSF1",0.730817146328757,-0.215596629229569,0.02,0.024,1,0.31019256484944,0.753750219756568,0.04,0.027,1,0.730817146328757,0.524165702411006
"RPS6KB2",0.310304326442917,0.533472021015117,0.23,0.223,1,0.669670985414172,0.187818457836004,0.215,0.251,1,0.669670985414172,0.524319877876642
"CCDC64",0.310573595867535,0.971687242862242,0.025,0.015,1,0.465191084863314,-1.0205726119474,0.01,0.017,1,0.465191084863314,0.52469123328498
"RBBP5",0.492278967243351,0.552607686339429,0.085,0.073,1,0.31061640545891,0.787143042544603,0.11,0.091,1,0.492278967243351,0.524750259577605
"ZBTB43",0.477296306041927,0.481897407877419,0.085,0.072,1,0.310781965075982,0.72803534853094,0.1,0.081,1,0.477296306041927,0.524978500335475
"TIMM8A",0.310807738735443,0.536280133935885,0.05,0.035,1,0.857960747316026,0.525619686910823,0.035,0.033,1,0.857960747316026,0.525014027013046
"NXPE3",0.31114572298785,-0.126380703358605,0.06,0.083,1,0.790248202965332,0.383346703998736,0.135,0.152,1,0.790248202965332,0.525479785042069
"RBM15",0.311403384251501,0.951347017192395,0.05,0.036,1,0.883628094708513,0.37564597818635,0.055,0.059,1,0.883628094708513,0.525834700779715
"WDR77",0.311746570709842,0.863354381615322,0.115,0.099,1,0.403455812112877,0.584649607991363,0.17,0.158,1,0.403455812112877,0.526307217070338
"ATG10",0.853035467629247,0.335393977787382,0.045,0.049,1,0.311859119573856,0.818594418314211,0.08,0.063,1,0.853035467629247,0.526462128686332
"MSL2",0.311897168160078,0.167190978751555,0.09,0.123,1,0.892997037554172,0.50108960404016,0.13,0.135,1,0.892997037554172,0.526514492813881
"MAGEF1",0.473353056073407,0.625542692718098,0.085,0.073,1,0.31201339355426,0.607082925252695,0.115,0.095,1,0.473353056073407,0.526674429351275
"KDM2B",0.949638412951685,0.216482711365233,0.095,0.099,1,0.312489860112452,0.211714686232142,0.13,0.169,1,0.949638412951685,0.527329807551804
"URM1",0.312639698400794,0.503383761064951,0.205,0.189,1,0.351080325062611,0.504412427204656,0.265,0.265,1,0.351080325062611,0.527535815785449
