"","batch_1_p_val","batch_1_avg_log2FC","batch_1_pct.1","batch_1_pct.2","batch_1_p_val_adj","batch_2_p_val","batch_2_avg_log2FC","batch_2_pct.1","batch_2_pct.2","batch_2_p_val_adj","max_pval","minimump_p_val"
"SEMA4D",1.75198712365348e-08,-2.02132327313266,0.065,0.246,0.000590314541443804,2.88463904698295e-12,-1.37600203391191,0.195,0.467,9.71950280490435e-08,1.75198712365348e-08,5.76927809395756e-12
"AMPD2",0.000147931145915099,-1.43397113507059,0.035,0.131,1,3.01679936661004e-12,-3.16192931166221,0.035,0.261,1.01648037858559e-07,0.000147931145915099,6.03359873321097e-12
"MYO1B",4.070978584873e-08,6.58575272276867,0.03,0,0.00137167552438711,3.09981293543927e-12,4.03106067434395,0.065,0.003,1.04445097046691e-07,4.070978584873e-08,6.19962587086891e-12
"FCGR2A",1.24635321558897e-06,-2.70284329861343,0.02,0.145,0.0419946252460546,3.1643199148647e-12,-5.21196910931156,0.005,0.213,1.06618595211451e-07,1.24635321558897e-06,6.32863982971938e-12
"ANAPC16",1.43835981777373e-06,0.516289532408209,0.735,0.664,0.0484640957000682,3.46367758320694e-12,0.760423240045625,0.805,0.676,1.16705152488575e-07,1.43835981777373e-06,6.92735516640187e-12
"FLT3LG",5.1784574493388e-08,-2.20471535749955,0.07,0.238,0.00174482945298022,3.6234719912895e-12,-2.32316621937479,0.12,0.36,1.22089265274508e-07,5.1784574493388e-08,7.24694398256586e-12
"CD14",1.93692253914794e-10,-3.99957215745896,0.035,0.228,6.52626680340506e-06,3.69362244473208e-12,-6.44908945738018,0.005,0.211,1.24452914652803e-07,1.93692253914794e-10,7.3872448894505e-12
"STX11",1.95117563773888e-10,-3.12390672197358,0.02,0.211,6.57429119379739e-06,3.74231003340462e-12,-4.33700563350016,0.02,0.233,1.26093394265535e-07,1.95117563773888e-10,7.48462006679522e-12
"CTSA",9.34000004350585e-09,-1.83551259552987,0.075,0.266,0.000314701961465886,3.74751146265918e-12,-1.74574055512413,0.135,0.398,1.26268651222839e-07,9.34000004350585e-09,7.49502292530432e-12
"HDAC9",6.52589452019489e-11,1.95444585389399,0.24,0.089,2.19883489963447e-06,3.96152655051585e-12,2.15687047770937,0.23,0.075,1.33479675593081e-07,6.52589452019489e-11,7.92305310101599e-12
"VMP1",3.99187083964186e-12,-1.5623917202675,0.11,0.371,1.34502096070893e-07,7.00546798984479e-11,-1.83072666448893,0.165,0.402,2.3604223844983e-06,7.00546798984479e-11,7.98374167926777e-12
"RFX5",0.000796786711406251,1.45465356942808,0.13,0.064,1,4.04308423347514e-12,1.82529251202993,0.275,0.104,1.36227680162711e-07,0.000796786711406251,8.08616846693392e-12
"C15orf57",7.80897441835106e-06,1.56656530217029,0.2,0.097,0.263115584051921,4.08490288091842e-12,1.49236658501661,0.355,0.155,1.37636717669665e-07,7.80897441835106e-06,8.16980576182015e-12
"RHOBTB2",0.0311776378048621,1.79499338428437,0.045,0.02,1,4.21955458149145e-12,2.46551125846864,0.145,0.03,1.42173672068773e-07,0.0311776378048621,8.43910916296509e-12
"RNPEPL1",5.78281871675713e-05,-1.03782846216231,0.125,0.265,1,4.22227895196625e-12,-2.14007204567275,0.105,0.35,1.42265467007551e-07,5.78281871675713e-05,8.44455790391466e-12
"TMEM258",8.24216563109652e-08,-0.569347673489206,0.49,0.722,0.00277711528774166,4.25238085711064e-12,-0.917653199073973,0.44,0.667,1.43279720599486e-07,8.24216563109652e-08,8.50476171420319e-12
"GZMB",2.23581617272218e-11,-5.54354084975524,0.015,0.214,7.5333590123701e-07,4.28559665053631e-12,-8.96246490460812,0,0.202,1.4439889354317e-07,2.23581617272218e-11,8.57119330105423e-12
"ADA",4.45608359843153e-12,-4.56043557646089,0.005,0.212,1.50143280765552e-07,1.02730861948143e-08,-2.46836594892933,0.03,0.194,0.000346141366248074,1.02730861948143e-08,8.91216719684318e-12
"CD70",0.000695895517697667,2.82922537097464,0.03,0.005,1,4.46021833377468e-12,2.6253126935014,0.085,0.008,1.50282596538204e-07,0.000695895517697667,8.92043666752944e-12
"RBMS1",7.80938030489007e-11,-1.80166247000252,0.085,0.32,2.63129259992966e-06,4.48273701475971e-12,-1.42262640289675,0.185,0.464,1.51041340975314e-07,7.80938030489007e-11,8.96547402949933e-12
"ST6GAL1",0.0804270785835783,0.755752080581679,0.175,0.134,1,4.63246399166978e-12,1.2622642777253,0.45,0.234,1.56086241735322e-07,0.0804270785835783,9.26492798331809e-12
"NDFIP1",2.43620165228531e-10,-1.09862433427149,0.215,0.478,8.20853784721014e-06,5.11425978362877e-12,-1.27106256000373,0.295,0.548,1.72319869149588e-07,2.43620165228531e-10,1.02285195672314e-11
"PTGER4",5.34750621127673e-12,-2.18480316057824,0.07,0.311,1.80178874282758e-07,9.51649731277061e-07,-1.25761667820087,0.125,0.298,0.0320648860456493,9.51649731277061e-07,1.06950124225249e-11
"ACTN1",3.4426754048762e-06,-2.03099589516889,0.04,0.168,0.115997505091899,5.38691599170257e-12,-4.29340178547759,0.015,0.225,1.81506747424427e-07,3.4426754048762e-06,1.07738319833761e-11
"TTN",0.0174668592201884,1.13372637394664,0.06,0.027,1,5.55088076471635e-12,2.06106359244148,0.225,0.072,1.87031376486353e-07,0.0174668592201884,1.11017615294019e-11
"SH2D1B",4.50779372913154e-06,-4.86516829860076,0.005,0.106,0.151885601909358,5.69858780489202e-12,-7.25669504815414,0,0.2,1.92008217498032e-07,4.50779372913154e-06,1.13971756097516e-11
"SEC11A",1.61315590744947e-08,-0.902829025022034,0.355,0.57,0.000543536751456024,5.75951966521931e-12,-1.23223897979337,0.36,0.594,1.94061255599899e-07,1.61315590744947e-08,1.15190393304054e-11
"RNF149",8.30776121039111e-11,-1.9183130230403,0.09,0.319,2.79921706222918e-06,5.78439146186877e-12,-1.4283220963431,0.255,0.506,1.94899285916206e-07,8.30776121039111e-11,1.1568782923704e-11
"VAMP5",6.17318174440463e-12,-1.96820830124841,0.135,0.382,2.07999185695969e-07,1.82094526650671e-08,-1.94766211147189,0.07,0.252,0.00061354929809677,1.82094526650671e-08,1.23463634887711e-11
"ARF5",2.29875444687839e-05,-0.625956708477365,0.29,0.48,0.774542323331206,6.23547956913285e-12,-0.966755458862847,0.415,0.662,2.10098248602362e-07,2.29875444687839e-05,1.24709591382268e-11
"PXK",0.161828264030748,1.03857404492409,0.105,0.079,1,7.65793331174862e-12,1.78513503392618,0.325,0.144,2.58026405006058e-07,0.161828264030748,1.53158666234386e-11
"TPST2",9.2484684460559e-09,-1.67245343669665,0.12,0.325,0.000311617895821407,8.34502583480566e-12,-2.17420156961484,0.09,0.333,2.81177300477942e-07,9.2484684460559e-09,1.66900516695417e-11
"TTC21A",8.52452792676074e-12,3.97237145957446,0.095,0.012,2.87225443964276e-07,1.113787582661e-06,2.96662908694562,0.055,0.008,0.0375279588101798,1.113787582661e-06,1.70490558534488e-11
"PELI1",0.538931001335606,-0.213235877659318,0.07,0.084,1,9.06090440848644e-12,1.63364600195833,0.355,0.164,3.05298113139542e-07,0.538931001335606,1.81218088168907e-11
"FAM45A",5.30073508005546e-10,-2.62134403168108,0.045,0.242,1.78602967787389e-05,9.21287150463405e-12,-2.77178001300892,0.055,0.28,3.1041849247714e-07,5.30073508005546e-10,1.84257430091832e-11
"NT5C3A",2.42376472010694e-06,1.16502626407666,0.28,0.154,0.0816663284792832,9.59396591273659e-12,1.38735969659168,0.385,0.186,3.23259087463747e-07,2.42376472010694e-06,1.91879318253811e-11
"PGAM1",9.62536990711427e-12,-1.13775774349552,0.265,0.559,3.24317213650308e-07,1.6258481023733e-11,-1.11094129863665,0.38,0.611,5.47813259613661e-07,1.6258481023733e-11,1.92507398141358e-11
"SERPINB6",9.0433979359455e-10,-1.68915044023058,0.09,0.305,3.04708250053748e-05,9.65810459756843e-12,-2.29270245638747,0.085,0.32,3.25420176310471e-07,9.0433979359455e-10,1.93162091950436e-11
"CLIC3",4.96007389738936e-09,-4.96410821864971,0.02,0.182,0.000167124729898637,1.00491696326723e-11,-8.53360368614206,0,0.196,3.38596721603259e-07,4.96007389738936e-09,2.00983392652435e-11
"ATP1B3",1.01175979610718e-11,-1.82244306636845,0.09,0.34,3.40902345700353e-07,8.86836730100347e-07,-1.1625988817055,0.14,0.321,0.0298810767840011,8.86836730100347e-07,2.02351959220412e-11
"LEF1",6.48895157587919e-07,-1.99693379560998,0.08,0.234,0.0218638734397673,1.09061654254471e-11,-3.30033010112324,0.04,0.257,3.67472337845016e-07,6.48895157587919e-07,2.18123308507753e-11
"RAB32",1.30609615544419e-09,-2.89429792992317,0.02,0.199,4.40076038615365e-05,1.15739738271227e-11,-6.47651657058277,0,0.195,3.89973474131071e-07,1.30609615544419e-09,2.31479476541113e-11
"SH2D2A",0.000150496527353624,-3.46459717183321,0.015,0.094,1,1.20334741624769e-11,-5.2805507354644,0.01,0.21,4.05455878430498e-07,0.000150496527353624,2.40669483248091e-11
