"","batch_1_p_val","batch_1_avg_log2FC","batch_1_pct.1","batch_1_pct.2","batch_1_p_val_adj","batch_2_p_val","batch_2_avg_log2FC","batch_2_pct.1","batch_2_pct.2","batch_2_p_val_adj","max_pval","minimump_p_val"
"MRPS31",0.171790534096791,-1.15526233271641,0.089,0.25,1,0.972774596501254,0.16289757695848,0.161,0.166,1,0.972774596501254,0.314069080588322
"PTER",0.690276148773906,-1.53627120376969,0.021,0,1,0.171915339402504,-0.551614849720183,0.035,0.06,1,0.690276148773906,0.314275794883129
"TFEC",0.786151024891202,-2.41415955143689,0.01,0,1,0.172047808971346,0.136614270189943,0.02,0.041,1,0.786151024891202,0.314495169370852
"PPP1R12A",0.326008195325642,-0.382184155574052,0.25,0.5,1,0.17236492433893,-0.130757258444936,0.372,0.446,1,0.326008195325642,0.315020181535496
"IKBKG",0.485962151138548,-0.679211156449266,0.057,0.125,1,0.17246327782564,-0.251238172502334,0.161,0.209,1,0.485962151138548,0.315182973452916
"NABP2",0.485962151138548,-0.745809858415317,0.057,0.125,1,0.172948644030304,-0.282812617028758,0.08,0.115,1,0.485962151138548,0.315986054588687
"LTV1",0.407418919864393,-1.0482557512954,0.052,0.125,1,0.173000688562641,0.552020988676193,0.151,0.12,1,0.407418919864393,0.316072138882134
"YAF2",0.221509395870941,1.77042002182563,0.161,0,1,0.173014248092856,-0.402794676233178,0.095,0.132,1,0.221509395870941,0.316094566142576
"L2HGDH",0.733460415261334,-1.46997008187925,0.016,0,1,0.173129143288568,-1.32318207321097,0.01,0.026,1,0.733460415261334,0.316284586321302
"NBPF10",0.653056828684804,-0.910814708752291,0.026,0,1,0.173276251341566,-0.330812874852449,0.09,0.127,1,0.653056828684804,0.316527843404147
"A1BG",0.21569304926606,-0.800946070635628,0.167,0.375,1,0.173368886645159,-0.358042676232688,0.181,0.228,1,0.21569304926606,0.316681002433735
"ZMYM4",0.173543459845121,-1.81433863955599,0.031,0.125,1,0.214076985014889,-0.167855617242664,0.075,0.108,1,0.214076985014889,0.316969587235227
