"","batch_2_p_val","batch_2_avg_log2FC","batch_2_pct.1","batch_2_pct.2","batch_2_p_val_adj","batch_1_p_val","batch_1_avg_log2FC","batch_1_pct.1","batch_1_pct.2","batch_1_p_val_adj","max_pval","minimump_p_val"
"PSMD1",0.458478077161976,0.61577189684003,0.251,0.212,1,0.0535238581233207,1.13812123295348,0.146,0.105,1,0.458478077161976,0.104182912858236
"STIM1",0.053789857365729,1.20827372147877,0.293,0.152,1,0.446923701445247,0.80463620741752,0.099,0.086,1,0.446923701445247,0.104686365976033
"ZNF117",0.318304104001076,1.38007604806919,0.03,0,1,0.0538046502999075,-2.92675157855179,0,0.021,1,0.318304104001076,0.10471436020592
"LRRC8B",0.443676090325479,0.746855885138825,0.018,0,1,0.0538046502999075,-3.03471716608683,0,0.021,1,0.443676090325479,0.10471436020592
"SIRT3",0.748351148369797,0.170264974438804,0.12,0.152,1,0.0538046502999075,-3.03001686901468,0,0.021,1,0.748351148369797,0.10471436020592
"FKTN",1,-0.396654610252085,0.03,0.03,1,0.0538046502999075,-3.12388841341736,0,0.021,1,1,0.10471436020592
"CHM",0.0539876130328534,-1.09572722995737,0.09,0.212,1,0.956675401140713,0.687285466189143,0.064,0.066,1,0.956675401140713,0.105060563704722
"GGA3",0.0540944682938564,-1.00088327048915,0.072,0.182,1,0.938941930527025,0.363533035565661,0.053,0.055,1,0.938941930527025,0.105262725087718
"CNN2",0.179897039213828,-0.300318516360246,0.497,0.667,1,0.054131325361167,-0.149496615022127,0.269,0.391,1,0.179897039213828,0.105332450336978
"MRPS18C",0.0543092943149954,1.67921813047276,0.311,0.182,1,0.101607575547093,0.686284815132514,0.24,0.209,1,0.101607575547093,0.105669089180998
"RALGPS1",0.0545037848346098,-2.28443450609534,0.024,0.091,1,0.0816336249661898,-2.43818370550105,0,0.017,1,0.0816336249661898,0.106036907107922
"ABL1",0.0545037848346098,-2.07846660826878,0.024,0.091,1,0.682011542025708,0.810660095791131,0.029,0.024,1,0.682011542025708,0.106036907107922
"CDK11B",0.133860379026609,-0.515097470814697,0.174,0.303,1,0.0546069351457376,0.921745266562693,0.193,0.151,1,0.133860379026609,0.106231952925464
"EAF1-AS1",0.207500204833218,-2.10130804438281,0.006,0.03,1,0.0546988531205176,2.82175749981053,0.023,0.008,1,0.207500204833218,0.106405741708335
"ZNF16",0.318304104001076,1.51754161494854,0.03,0,1,0.0547284929814002,1.75030549003128,0.035,0.015,1,0.318304104001076,0.106461778018785
"APOBEC3D",0.359465958949535,-0.285093188106464,0.048,0.091,1,0.054932935638163,1.13095982252352,0.07,0.039,1,0.359465958949535,0.106848243858499
"TMUB2",0.0550046023977442,-0.612521543461458,0.144,0.303,1,0.491932728792626,0.651616860773113,0.158,0.152,1,0.491932728792626,0.106983698510555
"RFESD",0.443676090325479,0.351263359857709,0.018,0,1,0.0550482414005124,2.2810648949432,0.023,0.008,1,0.443676090325479,0.107066173919736
"TROVE2",0.652350161499876,0.145707726888777,0.317,0.424,1,0.055070958892881,0.877845166855403,0.234,0.196,1,0.652350161499876,0.107109107272381
